
 num     #instances         #bytes  class name
----------------------------------------------
   1:       6668063      160033512  scala.Tuple2
   2:       6589824      158155776  java.lang.Long
   3:         37318       46662688  [B
   4:         30325       28889840  [Ljava.lang.Object;
   5:        113502       26405456  [C
   6:         42047        4709264  org.apache.spark.ui.jobs.UIData$TaskMetricsUIData
   7:         42261        3042792  org.apache.spark.scheduler.TaskInfo
   8:         25587        2820912  [Lscala.collection.mutable.HashEntry;
   9:        113081        2713944  java.lang.String
  10:         88551        2125224  scala.collection.immutable.$colon$colon
  11:         54868        1755776  java.util.concurrent.ConcurrentHashMap$Node
  12:         53817        1722144  scala.collection.mutable.LinkedEntry
  13:         25728        1646592  org.apache.kafka.clients.consumer.ConsumerRecord
  14:         13895        1528336  java.lang.Class
  15:         42339        1354848  scala.collection.immutable.HashMap$HashMap1
  16:         56000        1344000  scala.collection.mutable.DefaultEntry
  17:         81996        1311936  scala.Some
  18:          6888        1180120  [I
  19:         42056        1009344  org.apache.spark.ui.jobs.UIData$TaskUIData
  20:         23540         941600  scala.collection.mutable.HashMap
  21:         35298         847152  org.apache.spark.scheduler.CompressedMapStatus
  22:         51733         827728  java.lang.Integer
  23:         24200         774400  org.apache.spark.sql.execution.ShuffledRowRDDPartition
  24:         10100         727200  org.apache.spark.storage.RDDInfo
  25:         18144         580608  scala.collection.mutable.ListBuffer
  26:          4780         573600  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$9
  27:         16670         533440  java.lang.ref.WeakReference
  28:          5525         486200  java.lang.reflect.Method
  29:           189         452592  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  30:         11270         450800  org.apache.spark.util.LongAccumulator
  31:         11244         449760  org.apache.spark.scheduler.AccumulableInfo
  32:          4622         443712  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$14
  33:         18013         432312  org.apache.spark.sql.execution.ui.SQLStageMetrics
  34:         13338         426816  scala.reflect.internal.Symbols$TypeHistory
  35:         12982         415424  org.apache.spark.CleanupTaskWeakReference
  36:         12891         412512  org.apache.spark.util.AccumulatorMetadata
  37:         25646         410336  java.lang.Object
  38:         11049         400592  [Lscala.collection.immutable.HashMap;
  39:         12411         397152  org.apache.spark.sql.execution.ui.SQLTaskMetrics
  40:         12224         391168  java.util.HashMap$Node
  41:         15329         367896  scala.collection.mutable.ArrayBuffer
  42:          9955         318560  org.antlr.v4.runtime.atn.ATNConfig
  43:         12859         308616  org.apache.spark.CleanAccum
  44:          9422         301504  scala.reflect.internal.pickling.UnPickler$Scan$LazyTypeRef
  45:            94         272288  [Ljava.nio.channels.SelectionKey;
  46:          3746         269712  org.apache.spark.sql.catalyst.expressions.AttributeReference
  47:         10683         256392  scala.collection.immutable.HashMap$HashTrieMap
  48:          2776         250256  [Ljava.util.HashMap$Node;
  49:          7638         244416  org.apache.spark.ui.scope.RDDOperationCluster
  50:          1555         236360  org.apache.spark.ui.jobs.UIData$StageUIData
  51:          7111         227552  scala.reflect.internal.Scopes$ScopeEntry
  52:          6000         192000  org.apache.spark.rdd.ZippedPartitionsPartition
  53:          5962         190784  org.apache.spark.ui.scope.RDDOperationNode
  54:           210         176728  [Lorg.antlr.v4.runtime.dfa.DFAState;
  55:          7178         172272  java.util.ArrayList
  56:          3155         149688  [Ljava.lang.String;
  57:          3719         148760  java.util.WeakHashMap$Entry
  58:          1426         148304  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$11
  59:          5954         142896  org.apache.spark.ui.scope.RDDOperationEdge
  60:          4373         139936  com.codahale.metrics.WeightedSnapshot$WeightedSample
  61:             1         131088  [Lscala.reflect.internal.Names$TermName;
  62:             1         131088  [Lscala.reflect.internal.Names$TypeName;
  63:          2679         128592  org.codehaus.janino.ReflectionIClass$ReflectionIMethod
  64:           182         124456  [Lorg.apache.spark.Partition;
  65:          1555         124400  org.apache.spark.util.collection.OpenHashSet$mcI$sp
  66:          1877         120128  io.netty.buffer.PoolSubpage
  67:          3740         119680  java.util.Hashtable$Entry
  68:          2936         117440  org.antlr.v4.runtime.atn.BasicState
  69:          2867         114680  java.util.LinkedHashMap$Entry
  70:          2242         107616  java.util.HashMap
  71:          4447         106728  java.lang.Double
  72:          4381         105144  java.util.concurrent.ConcurrentSkipListMap$Node
  73:          3133         100256  scala.reflect.internal.Names$TermName_R
  74:          1555          99520  org.apache.spark.scheduler.StageInfo
