Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32879392k(2111560k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=526070272 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2.426: [GC (Allocation Failure) [PSYoungGen: 129024K->13279K(150016K)] 129024K->13367K(493056K), 0.0238901 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
2.777: [GC (Metadata GC Threshold) [PSYoungGen: 34857K->6314K(150016K)] 34945K->6410K(493056K), 0.0167351 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2.794: [Full GC (Metadata GC Threshold) [PSYoungGen: 6314K->0K(150016K)] [ParOldGen: 96K->6049K(176640K)] 6410K->6049K(326656K), [Metaspace: 21010K->21010K(1067008K)], 0.0373034 secs] [Times: user=0.12 sys=0.03, real=0.04 secs] 
4.178: [GC (Allocation Failure) [PSYoungGen: 129024K->12425K(150016K)] 135073K->18483K(326656K), 0.0119290 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
4.797: [GC (Metadata GC Threshold) [PSYoungGen: 55223K->7286K(153600K)] 61281K->13351K(330240K), 0.0129171 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
4.810: [Full GC (Metadata GC Threshold) [PSYoungGen: 7286K->0K(153600K)] [ParOldGen: 6065K->10896K(249856K)] 13351K->10896K(403456K), [Metaspace: 35006K->35006K(1079296K)], 0.0324629 secs] [Times: user=0.11 sys=0.01, real=0.04 secs] 
6.501: [GC (Allocation Failure) [PSYoungGen: 132608K->8570K(141312K)] 143504K->19474K(391168K), 0.0062747 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
8.220: [GC (Allocation Failure) [PSYoungGen: 141178K->14827K(144384K)] 152082K->27313K(394240K), 0.0191448 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
